First Try
copper [40, 39, 30, 23, 18, 16, 18, 19, 16, 17, 17, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]
silt [40, 35, 28, 25, 23, 19, 13, 17, 15, 16, 16, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16]
copper tools [40, 121, 114, 109, 97, 90, 92, 65, 65, 95, 95, 46, 46, 46, 46, 46, 46, 46, 41, 41, 41]
flax clothing [40, 58, 52, 51, 48, 51, 54, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56]
food [40, 39, 28, 21, 20, 17, 16, 15, 14, 12, 15, 13, 12, 10, 11, 10, 8, 11, 7, 7, 7]
silt pottery [40, 61, 56, 65, 65, 65, 54, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]
flax [40, 40, 32, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 22, 21, 17, 16, 17]
bronze tools [40, 122, 116, 107, 100, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92]
wood [40, 43, 34, 26, 22, 19, 15, 17, 17, 16, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]
iron [40, 36, 31, 26, 21, 19, 15, 20, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
clay [40, 35, 26, 24, 15, 14, 15, 12, 12, 12, 13, 13, 13, 13, 13, 13, 12, 12, 12, 11, 11]
clay pottery [40, 59, 53, 44, 50, 40, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48]
wood furniture [40, 61, 60, 56, 60, 60, 46, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47]
bronze [40, 38, 31, 27, 21, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]
iron tools [40, 120, 112, 106, 97, 90, 90, 90, 90, 68, 68, 68, 68, 68, 68, 68, 51, 42, 42, 42, 42]

Second Try
copper [40, 36, 30, 20, 17, 14, 13, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]
silt [40, 35, 27, 20, 21, 15, 16, 13, 13, 10, 10, 15, 17, 17, 17, 17, 12, 12, 12, 15, 15]
copper tools [40, 122, 112, 105, 107, 84, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]
flax clothing [40, 54, 50, 58, 57, 62, 65, 57, 68, 68, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67]
food [40, 38, 28, 23, 18, 17, 16, 15, 16, 12, 13, 12, 12, 11, 9, 9, 10, 9, 9, 10, 8]
silt pottery [40, 60, 54, 55, 43, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42]
flax [40, 39, 45, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 31, 31, 19, 17, 21]
bronze tools [40, 120, 115, 109, 110, 97, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 56, 56, 56, 56, 56]
wood [40, 46, 39, 27, 30, 30, 34, 35, 32, 32, 37, 37, 37, 37, 16, 16, 16, 16, 16, 16, 16]
iron [40, 39, 32, 29, 19, 14, 13, 10, 8, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
clay [40, 36, 30, 20, 18, 17, 14, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]
clay pottery [40, 61, 55, 55, 55, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]
wood furniture [40, 60, 61, 61, 64, 66, 61, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66]
bronze [40, 39, 34, 30, 22, 19, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]
iron tools [40, 120, 114, 109, 105, 105, 105, 65, 65, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47]

Third Try
copper [40, 36, 32, 25, 22, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]
silt [40, 37, 28, 21, 16, 16, 13, 12, 12, 12, 12, 12, 12, 12, 13, 13, 9, 9, 9, 15, 15]
copper tools [40, 118, 112, 109, 113, 108, 79, 103, 103, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79]
flax clothing [40, 51, 50, 51, 51, 53, 52, 53, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55]
food [40, 38, 28, 22, 22, 18, 15, 14, 14, 12, 13, 10, 10, 10, 10, 10, 9, 12, 8, 9, 11]
silt pottery [40, 61, 56, 57, 50, 50, 50, 49, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
flax [40, 35, 35, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]
bronze tools [40, 119, 117, 112, 112, 112, 109, 109, 109, 109, 109, 109, 109, 109, 109, 96, 96, 96, 96, 96, 96]
wood [40, 50, 46, 36, 29, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 14, 14, 14, 14, 14, 14]
iron [40, 37, 30, 26, 22, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]
clay [40, 33, 27, 16, 21, 17, 15, 15, 15, 15, 15, 15, 15, 21, 21, 21, 21, 14, 14, 14, 14]
clay pottery [40, 62, 51, 54, 44, 48, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37]
wood furniture [40, 60, 66, 64, 71, 71, 71, 58, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65]
bronze [40, 40, 35, 29, 21, 16, 17, 17, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]
iron tools [40, 124, 114, 104, 97, 92, 92, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]
